ticker,sector,market_cap
NVDA,Technology,4.96T
AAPL,Technology,4.51T
GOOGL,Technology,4.47T
GOOG,Technology,4.43T
MSFT,Technology,3.10T
AMZN,Consumer Discretionary,2.65T
AVGO,Technology,1.83T
META,Technology,1.51T
TSLA,Consumer Discretionary,1.47T
LLY,Healthcare,1.07T
BRK.B,Financials,1.05T
MU,Technology,974.37B
WMT,Consumer Staples,946.06B
JPM,Financials,837.00B
AMD,Technology,760.48B
XOM,Energy,621.41B
ORCL,Technology,614.55B
V,Financials,609.64B
JNJ,Healthcare,560.33B
INTC,Technology,498.43B
CSCO,COMPUTER COMMUNICATIONS EQUIPMENT,479.44B
MA,Financials,433.91B
COST,RETAIL-VARIETY STORES,431.03B
CAT,Industrials,416.50B
ABBV,Healthcare,401.47B
BAC,Financials,382.01B
LRCX,Technology,379.27B
CVX,Energy,373.05B
UNH,HOSPITAL & MEDICAL SERVICE PLANS,362.77B
AMAT,SEMICONDUCTORS & RELATED DEVICES,359.67B
NFLX,Consumer Discretionary,346.04B
GE,Industrials,342.22B
KO,Consumer Staples,341.96B
PG,Consumer Staples,341.23B
MS,Financials,334.27B
PLTR,SERVICES-PREPACKAGED SOFTWARE,324.91B
HD,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,309.55B
GS,Financials,306.42B
MRK,Healthcare,298.33B
PM,CIGARETTES,277.88B
IBM,COMPUTER & OFFICE EQUIPMENT,267.72B
TXN,SEMICONDUCTORS & RELATED DEVICES,259.43B
DELL,ELECTRONIC COMPUTERS,256.18B
KLAC,Technology,252.01B
GEV,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),250.88B
WFC,Financials,250.75B
RTX,Industrials,243.74B
LIN,INDUSTRIAL INORGANIC CHEMICALS,234.83B
SNDK,COMPUTER STORAGE DEVICES,230.92B
MRVL,SEMICONDUCTORS & RELATED DEVICES,230.48B
QCOM,Technology,227.60B
C,Financials,225.94B
PANW,"COMPUTER PERIPHERAL EQUIPMENT, NEC",220.63B
AXP,Financials,211.97B
MCD,Consumer Discretionary,198.83B
ADI,SEMICONDUCTORS & RELATED DEVICES,195.51B
ANET,COMPUTER COMMUNICATIONS EQUIPMENT,194.26B
PEP,Consumer Staples,193.97B
TMUS,RADIOTELEPHONE COMMUNICATIONS,192.74B
VZ,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),189.44B
AMGN,Healthcare,188.67B
APP,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",187.19B
NEE,ELECTRIC SERVICES,179.03B
TJX,RETAIL-FAMILY CLOTHING STORES,177.54B
WDC,Technology,176.38B
TMO,Healthcare,175.70B
DIS,Media & Entertainment,173.15B
CRWD,Technology,170.80B
APH,ELECTRONIC CONNECTORS,170.77B
BA,Industrials,169.84B
BLK,Financials,162.12B
UNP,"RAILROADS, LINE-HAUL OPERATING",161.68B
GILD,Healthcare,160.36B
ABT,Healthcare,158.63B
T,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),158.07B
DE,Industrials,157.59B
SCHW,Financials,154.50B
ETN,Industrials,153.74B
GLW,DRAWING & INSULATING OF NONFERROUS WIRE,152.83B
CRM,Technology,152.06B
ISRG,Healthcare,149.48B
PFE,Healthcare,148.41B
WELL,Real Estate,146.07B
SCCO,Materials,144.31B
UBER,Consumer Discretionary,143.94B
IBKR,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",143.16B
COP,Energy,142.71B
