Date,Portfolio_Value,SPY_Value,Period_Return,SPY_Period_Return,Regime
2016-11-15,0.9816664999999999,1.0104467,-0.018333467344553222,0.010446735395189,Neutral_Above
2016-11-22,0.9917955,1.0095303999999998,0.010318173557593548,-0.0009069060898743,Neutral_Above
2016-12-08,0.9688876,1.0168393,-0.023097403341694356,0.0072399395931421,Neutral_Above
2016-12-15,0.9619291999999999,1.0108307,-0.007181932406117862,-0.0059090708647528,Neutral_Above
2016-12-28,1.0397745,1.0195234,0.08092624402349051,0.0085995633382346,Neutral_Above
2017-01-12,1.07817,1.0201084,0.03692675965174085,0.0005737741095466,Neutral_Above
2017-01-20,1.1186131,1.030413,0.03751091362887202,0.0101014556682841,Neutral_Above
2017-01-27,1.1103819,1.0321228999999998,-0.007358376021902116,0.0016594611118389,Neutral_Above
2017-02-15,1.1039834,1.0405163,-0.005762450998066721,0.0081321582151828,Neutral_Above
2017-02-24,1.0970624,1.0479867999999999,-0.0062691396474234004,0.0071796604442942,Neutral_Above
2017-03-03,1.0744294,1.0442955,-0.020630575533663858,-0.0035223079503522,Neutral_Above
2017-03-22,1.0447105,1.0501796,-0.027660083254810695,0.0056345242668715,Neutral_Above
2017-04-11,1.0273534,1.0431647,-0.016614352495233225,-0.0066797140912184,Neutral_Above
2017-04-25,1.052945,1.0443018,0.024910294809810354,0.0010900096423929,Bull
2017-05-02,1.1153847000000001,1.0472319,0.05930000629164631,0.0028058126387202,Bull
2017-05-09,1.1221796000000002,1.0500308,0.006091957415519301,0.0026726801971101,Bull
2017-05-16,1.0800563,1.049681,-0.03753700435053484,-0.0003331945022906,Bull
2017-06-07,1.0646875999999998,1.0523089,-0.014229575825819952,0.0025035912169094,Bull
2017-06-14,1.0517143,1.0466652,-0.012185023068733,-0.0053631376402194,Bull
2017-06-21,1.0494237,1.0488624,-0.0021779713752333,0.0020991973657131,Bull
2017-07-06,1.0647337,1.0655601,0.0145889359310252,0.0159198603375175,Neutral_Below
2017-07-13,1.1148517999999998,1.077157,0.04707099964329223,0.0108833517450186,Bull
2017-07-20,1.0930529,1.077811,-0.019553108303475487,0.0006071153923989,Bull
2017-07-27,1.0722824,1.0767646,-0.01900236336059335,-0.0009707952431033,Bull
2017-08-07,1.038324,1.0709866000000001,-0.031669196454222504,-0.0053661488803711,Bull
2017-08-14,0.997668,1.0553900999999999,-0.03915542596019887,-0.0145627129644653,Bull
2017-08-21,0.9991716,1.0626018,0.0015071431099574358,0.0068332441444037,Neutral_Below
2017-09-05,1.0365962,1.0797433,0.037455541557047424,0.0161316537992685,Bull
2017-09-12,1.0464585,1.0793116,0.009514174674662021,-0.0003998880313511,Bull
2017-09-27,1.111903,1.0928666,0.06253902095714725,0.0125589952803775,Bull
2017-10-04,1.1383102999999999,1.1008097000000001,0.02374963154762905,0.0072681308263548,Bull
2017-10-11,1.0974765,1.1043496000000002,-0.0358722867650231,0.0032156862745097,Bull
2017-10-19,1.0989048,1.1033567,0.0013014363949572349,-0.0008990696583534,Bull
2017-11-02,1.1136892,1.1058837,0.013453766209155966,0.0022902837622762,Bull
2017-11-09,1.5261809,1.1076355,0.3703831549879187,0.0015840433772269,Bull
2017-11-16,1.5090816,1.1151779,-0.011204022607554013,0.0068095077897521,Bull
2017-11-24,1.4183866,1.1326099,-0.06009945532740126,0.0156316011829319,Bull
2017-12-01,1.4034567999999998,1.1371072,-0.0105258619254976,0.0039706549689911,Bull
2017-12-11,1.4609878,1.1449628,0.04099230918014247,0.0069084628670122,Bull
2017-12-18,1.4676135000000001,1.1406507000000001,0.004535110765138901,-0.0037661272279811,Bull
2018-01-03,1.490389,1.1559595,0.015518721577585414,0.0134210818205346,Bull
2018-01-10,1.5550891,1.1773833,0.04341154390166097,0.0185333819773804,Bull
2018-01-18,1.5529586,1.1946742,-0.0013700224345187233,0.0146858657496954,Bull
2018-01-25,1.5055407,1.1875892,-0.030533903953752127,-0.0059305280994067,Bull
2018-02-08,1.5659779,1.2580003,0.04014319807925908,0.059289151016607,Neutral_Below
2018-02-26,1.6646069000000001,1.2322871,0.06298235653242028,-0.020439742344093,Bull
2018-03-05,1.7576454000000001,1.2607617999999998,0.05589219402498055,0.0231071599133023,Neutral_Below
2018-03-13,1.7788569,1.2345614,0.012068131140927816,-0.0207813798836242,Bull
2018-03-21,1.7100792,1.1862162,-0.0386639807224823,-0.0391598565247939,Neutral_Below
