,RS5_Pct,RS10_Pct,RVOL_Pct,ATR_Expansion,High52_Proximity,VolatilityContraction,Daily_CLV,DollarVolume,DollarVolume20,GapPct,GapExtensionATR,DaysSinceEarnings,DaysUntilNextEarnings
RS5_Pct,1.0,0.3811579883855077,0.0029600815084379166,0.014357961568796474,0.053792917282548466,0.030101560127406134,0.07854091693959014,0.02382822736163712,0.017162903139944907,0.04597876087286526,0.039096909481524326,-0.002496571907651804,-0.007125322455059129
RS10_Pct,0.3811579883855077,1.0,0.002756075907378277,0.028378778585133557,0.10702926557438561,0.05130805516764147,0.08020900625786732,0.02415395173519632,0.015287452907705,0.042702544692764806,0.03818672303714543,-0.0028243197035788545,-0.008087058391054513
RVOL_Pct,0.0029600815084379166,0.002756075907378277,1.0,0.40850289742287127,0.014409427053497627,0.308069669155133,0.004878398037866229,0.2684710585427009,-0.01876507001548669,0.019505685597176248,0.14676741947512933,0.02351845767880341,-0.033231618090198374
ATR_Expansion,0.014357961568796474,0.028378778585133557,0.40850289742287127,1.0,0.0805841968090002,0.45749173526067183,0.014467973395697394,0.1498286912593963,-0.026106512367040022,0.009447766971308402,0.16178264627752667,0.028098744793743264,-0.02715539047613799
High52_Proximity,0.053792917282548466,0.10702926557438561,0.014409427053497627,0.0805841968090002,1.0,0.10252111615697565,0.15456701000429923,0.058498573613548835,0.04012382252885273,0.0890864949415621,0.013299195564959959,-0.07657582761251773,-0.03225415396470516
VolatilityContraction,0.030101560127406134,0.05130805516764147,0.308069669155133,0.45749173526067183,0.10252111615697565,1.0,0.01455065295563213,0.1517312270899703,0.014283300397578422,0.04338413567255044,0.1262804539310865,0.007012352515649184,-0.008663754522214474
Daily_CLV,0.07854091693959014,0.08020900625786732,0.004878398037866229,0.014467973395697394,0.15456701000429923,0.01455065295563213,1.0,0.03113128632797209,0.021225705221856885,-0.02227675389577627,0.029529184740385878,0.001831365158216478,0.006189766542167176
DollarVolume,0.02382822736163712,0.02415395173519632,0.2684710585427009,0.1498286912593963,0.058498573613548835,0.1517312270899703,0.03113128632797209,1.0,0.9352535247564938,0.017896886009411875,0.11092047722862079,0.015393448753518533,-0.002295987148188715
DollarVolume20,0.017162903139944907,0.015287452907705,-0.01876507001548669,-0.026106512367040022,0.04012382252885273,0.014283300397578422,0.021225705221856885,0.9352535247564938,1.0,0.004278794409007368,0.04470060417654197,0.0017510846971210351,0.016107943375825863
GapPct,0.04597876087286526,0.042702544692764806,0.019505685597176248,0.009447766971308402,0.0890864949415621,0.04338413567255044,-0.02227675389577627,0.017896886009411875,0.004278794409007368,1.0,0.07067834641514194,-0.009969487498083355,-0.03491465564927254
GapExtensionATR,0.039096909481524326,0.03818672303714543,0.14676741947512933,0.16178264627752667,0.013299195564959959,0.1262804539310865,0.029529184740385878,0.11092047722862079,0.04470060417654197,0.07067834641514194,1.0,0.059269761921924756,-0.05853575720696658
DaysSinceEarnings,-0.002496571907651804,-0.0028243197035788545,0.02351845767880341,0.028098744793743264,-0.07657582761251773,0.007012352515649184,0.001831365158216478,0.015393448753518533,0.0017510846971210351,-0.009969487498083355,0.059269761921924756,1.0,-0.4974925163034495
DaysUntilNextEarnings,-0.007125322455059129,-0.008087058391054513,-0.033231618090198374,-0.02715539047613799,-0.03225415396470516,-0.008663754522214474,0.006189766542167176,-0.002295987148188715,0.016107943375825863,-0.03491465564927254,-0.05853575720696658,-0.4974925163034495,1.0
