Feature,Target,IC,Abs_IC,N
ATR_Expansion,FwdRet_1D,0.029208234548065946,0.029208234548065946,200776
Daily_CLV,FwdRet_1D,-0.02828565632634379,0.02828565632634379,203176
VolatilityContraction,FwdRet_1D,0.02020263873919698,0.02020263873919698,200776
RS5_Pct,FwdRet_1D,0.015772494449721165,0.015772494449721165,203176
DollarVolume,FwdRet_1D,0.014387309962758098,0.014387309962758098,203176
GapPct,FwdRet_1D,-0.013310208383354168,0.013310208383354168,203079
RVOL_Pct,FwdRet_1D,0.011322079809864665,0.011322079809864665,203176
GapExtensionATR,FwdRet_1D,0.011167273060434501,0.011167273060434501,200776
RS10_Pct,FwdRet_1D,0.010183128547009207,0.010183128547009207,203176
DollarVolume20,FwdRet_1D,0.007560868473705343,0.007560868473705343,200776
DaysUntilNextEarnings,FwdRet_1D,0.0036061981705521728,0.0036061981705521728,162889
High52_Proximity,FwdRet_1D,-0.002945264454875527,0.002945264454875527,203176
DaysSinceEarnings,FwdRet_1D,0.0011529622851184742,0.0011529622851184742,197596
