Feature,Target,Mean_IC,Median_IC,IC_Std,IC_IR,Positive_IC_Pct,N_Dates
RS10_Pct,FwdRet_10D,0.0405,0.0493,0.1202,0.3371,65.2,233
High52_Proximity,FwdRet_10D,0.0268,0.0277,0.1562,0.1717,59.7,233
RS5_Pct,FwdRet_10D,0.026,0.0344,0.1284,0.2021,58.4,233
GapExtensionATR,FwdRet_10D,0.0239,0.0138,0.0864,0.277,58.4,233
VolatilityContraction,FwdRet_10D,0.0208,0.024,0.0698,0.2982,61.8,233
DollarVolume,FwdRet_10D,0.0206,0.0151,0.0956,0.2158,58.8,233
DollarVolume20,FwdRet_10D,0.0161,0.0159,0.0946,0.1703,56.2,233
RVOL_Pct,FwdRet_10D,0.0159,0.0118,0.0634,0.2514,59.2,233
DaysSinceEarnings,FwdRet_10D,0.0148,0.0124,0.059,0.2502,60.5,233
ATR_Expansion,FwdRet_10D,0.0047,0.0002,0.0782,0.0602,50.2,233
GapPct,FwdRet_10D,-0.0047,-0.0077,0.1476,-0.0318,47.6,233
Daily_CLV,FwdRet_10D,0.0043,0.0124,0.1022,0.0424,55.4,233
DaysUntilNextEarnings,FwdRet_10D,-0.0039,-0.0014,0.0788,-0.0497,48.5,233
